geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",19879.0,14252.0,5627.0,122,38460,02
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",2384.0,1765.0,619.0,261,14420,02
0206818765,"Denali census subarea, Denali Borough, Alaska",678.0,533.0,145.0,068,18765,02
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",465.0,327.0,138.0,261,17350,02
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",1900.0,1256.0,644.0,122,68610,02
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",399.0,252.0,147.0,290,46060,02
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",408.0,278.0,130.0,164,42780,02
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",2139.0,1533.0,606.0,240,72030,02
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",1094.0,793.0,301.0,290,42080,02
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",466.0,334.0,132.0,290,86690,02
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",106012.0,63722.0,42290.0,020,3050,02
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",812.0,482.0,330.0,013,1598,02
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",1830.0,1354.0,476.0,198,64310,02
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",423.0,220.0,203.0,230,70810,02
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,198,34575,02
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",485.0,336.0,149.0,198,48873,02
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",1084.0,722.0,362.0,275,86420,02
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",770.0,566.0,204.0,105,33390,02
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",32.0,24.0,8.0,105,40560,02
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",1218.0,367.0,851.0,016,1615,02
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",358.0,205.0,153.0,060,9050,02
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",4538.0,2679.0,1859.0,150,41200,02
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",1849.0,1055.0,794.0,188,56270,02
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",3545.0,2008.0,1537.0,220,70590,02
020503580,"Aniak census subarea, Bethel Census Area, Alaska",417.0,304.0,113.0,050,3580,02
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",4107.0,2557.0,1550.0,050,45510,02
0218555970,"North Slope census subarea, North Slope Borough, Alaska",2041.0,1060.0,981.0,185,55970,02
0215842185,"Kusilvak census subarea, Kusilvak Census Area, Alaska",1752.0,1296.0,456.0,158,42185,02
0219560360,"Petersburg census subarea, Petersburg Borough, Alaska",1255.0,856.0,399.0,195,60360,02
0209024450,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",36396.0,21466.0,14930.0,090,24450,02
0213039010,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",5270.0,3261.0,2009.0,130,39010,02
0217047440,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",30613.0,23409.0,7204.0,170,47440,02
0218054970,"Nome census subarea, Nome Census Area, Alaska",2897.0,1755.0,1142.0,180,54970,02
0207019000,"Dillingham census subarea, Dillingham Census Area, Alaska",1405.0,871.0,534.0,070,19000,02
0210031160,"Haines census subarea, Haines Borough, Alaska",1087.0,769.0,318.0,100,31160,02
0228286498,"Yakutat census subarea, Yakutat City and Borough, Alaska",255.0,154.0,101.0,282,86498,02
0211036450,"Juneau census subarea, Juneau City and Borough, Alaska",12273.0,8033.0,4240.0,110,36450,02
