B05002_001E,B05002_002E,B05002_013E,name,county,county subdivision,state
52326.0,50975.0,1351.0,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",122,38460,02
7712.0,7266.0,446.0,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",261,14420,02
2303.0,2067.0,236.0,"Denali census subarea, Denali Borough, Alaska",068,18765,02
1727.0,1715.0,12.0,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",261,17350,02
5635.0,5301.0,334.0,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",122,68610,02
1028.0,1012.0,16.0,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",290,46060,02
1301.0,1260.0,41.0,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",164,42780,02
6889.0,6158.0,731.0,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",240,72030,02
3201.0,3170.0,31.0,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",290,42080,02
1224.0,1206.0,18.0,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",290,86690,02
298225.0,266858.0,31367.0,"Anchorage census subarea, Anchorage Municipality, Alaska",020,03050,02
3338.0,2129.0,1209.0,"Aleutians East census subarea, Aleutians East Borough, Alaska",013,01598,02
4789.0,4684.0,105.0,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",198,64310,02
1038.0,951.0,87.0,"Skagway census subarea, Skagway Municipality, Alaska",230,70810,02
0.0,0.0,0.0,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",198,34575,02
1684.0,1641.0,43.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
2475.0,2366.0,109.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
2084.0,1961.0,123.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
62.0,60.0,2.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
5784.0,3621.0,2163.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
917.0,891.0,26.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
13773.0,11230.0,2543.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
7715.0,7617.0,98.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
8810.0,8107.0,703.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
1455.0,1440.0,15.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
16502.0,16124.0,378.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
9757.0,9260.0,497.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
8129.0,8015.0,114.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
3275.0,2971.0,304.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
100031.0,94940.0,5091.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
13745.0,12663.0,1082.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
101135.0,97673.0,3462.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
9869.0,9657.0,212.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
4974.0,4872.0,102.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
2537.0,2369.0,168.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
682.0,641.0,41.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
32434.0,29651.0,2783.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
